,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Central African Republic,54 ,45 , 65,46 ,38 , 55,... ,... , ...,56 ,47 , 69,64 ,53 , 79,... ,... , ...,59 ,49 , 73,69 ,57 , 86,... ,... , ...,62 ,51 , 77,71 ,59 , 88,... ,... , ...
Chad,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chile,... ,... , ...,... ,... , ...,77 ,70 , 84,... ,... , ...,... ,... , ...,85 ,78 , 92,... ,... , ...,... ,... , ...,86 ,79 , 94,77 ,70 , 83,69 ,63 , 75,... ,... , ...
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,86 ,78 , >95,94 ,85 , >95
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Comoros,54 ,28 , >95,93 ,48 , >95,... ,... , ...,64 ,33 , >95,88 ,46 , >95,... ,... , ...,73 ,38 , >95,86 ,46 , >95,... ,... , ...,78 ,42 , >95,80 ,42 , >95,... ,... , ...
Congo,42 ,34 , 51,74 ,60 , 90,... ,... , ...,42 ,34 , 52,79 ,63 , >95,... ,... , ...,42 ,33 , 54,82 ,64 , >95,... ,... , ...,43 ,32 , 56,84 ,64 , >95,... ,... , ...
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,77 ,69 , 84,92 ,83 , >95,83 ,75 , 92,73 ,66 , 80,94 ,85 , >95,82 ,74 , 90,71 ,64 , 78,93 ,85 , >95,83 ,75 , 91,... ,... , ...,... ,... , ...,85 ,77 , 93
Cuba,83 ,63 , >95,79 ,61 , >95,... ,... , ...,84 ,64 , >95,84 ,64 , >95,... ,... , ...,87 ,66 , >95,86 ,66 , >95,67 ,51 , 83,90 ,69 , >95,89 ,67 , >95,67 ,51 , 82
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,76 ,69 , 84,69 ,63 , 77,95 ,85 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Côte d'Ivoire,56 ,44 , 70,75 ,60 , 94,... ,... , ...,60 ,48 , 76,85 ,68 , >95,... ,... , ...,66 ,52 , 83,94 ,75 , >95,... ,... , ...,72 ,58 , 91,92 ,73 , >95,77 ,61 , >95
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,
Democratic Republic of the Congo,34 ,28 , 40,83 ,68 , >95,... ,... , ...,39 ,32 , 45,88 ,72 , >95,... ,... , ...,49 ,40 , 57,>95 ,81 , >95,... ,... , ...,64 ,52 , 75,91 ,74 , >95,... ,... , ...
Denmark,... ,... , ...,... ,... , ...,... ,... , ...,91 ,81 , >95,>95 ,86 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Djibouti,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Dominica,,,,,,,,,,... ,... , ...,... ,... , ...,44 ,39 , 51,... ,... , ...,... ,... , ...,65 ,57 , 76,... ,... , ...,... ,... , ...,58 ,49 , 66
Dominican Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,82 ,65 , >95,67 ,53 , 85,72 ,58 , 92,91 ,71 , >95,67 ,52 , 86,65 ,51 , 85
Ecuador,... ,... , ...,... ,... , ...,... ,... , ...,66 ,45 , >95,75 ,51 , >95,... ,... , ...,76 ,52 , >95,73 ,50 , >95,... ,... , ...,84 ,56 , >95,74 ,50 , >95,95 ,64 , >95
Egypt,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
El Salvador,69 ,56 , 82,66 ,54 , 79,82 ,66 , >95,71 ,58 , 84,70 ,56 , 83,81 ,66 , >95,75 ,61 , 88,70 ,57 , 83,84 ,68 , >95,78 ,64 , 92,67 ,55 , 79,86 ,70 , >95
Equatorial Guinea,56 ,47 , 68,61 ,50 , 73,... ,... , ...,59 ,49 , 73,72 ,59 , 89,... ,... , ...,61 ,50 , 78,89 ,73 , >95,... ,... , ...,64 ,52 , 83,83 ,67 , >95,... ,... , ...
Eritrea,82 ,63 , >95,57 ,44 , 75,... ,... , ...,83 ,64 , >95,56 ,43 , 74,... ,... , ...,84 ,64 , >95,62 ,47 , 82,... ,... , ...,85 ,64 , >95,62 ,47 , 84,... ,... , ...
Estonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,94 ,83 , >95,70 ,62 , 77,... ,... , ...,94 ,83 , >95,71 ,63 , 79,90 ,80 , >95
Eswatini,89 ,83 , >95,81 ,76 , 88,... ,... , ...,91 ,85 , >95,90 ,84 , >95,92 ,86 , >95,92 ,86 , >95,>95 ,92 , >95,92 ,85 , >95,93 ,87 , >95,>95 ,91 , >95,95 ,88 , >95
Ethiopia,71 ,55 , 93,82 ,64 , >95,... ,... , ...,74 ,57 , >95,83 ,64 , >95,... ,... , ...,76 ,59 , >95,84 ,65 , >95,... ,... , ...,79 ,61 , >95,82 ,64 , >95,... ,... , ...
Fiji,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Finland,90 ,69 , >95,81 ,62 , >95,... ,... , ...,91 ,69 , >95,81 ,62 , >95,... ,... , ...,91 ,70 , >95,81 ,62 , >95,... ,... , ...,91 ,70 , >95,83 ,63 , >95,... ,... , ...
France,... ,... , ...,... ,... , ...,... ,... , ...,87 ,75 , >95,88 ,77 , >95,>95 ,85 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gabon,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Gambia,32 ,26 , 41,82 ,67 , >95,... ,... , ...,35 ,28 , 44,89 ,72 , >95,... ,... , ...,37 ,30 , 47,93 ,76 , >95,... ,... , ...,46 ,37 , 59,81 ,66 , >95,... ,... , ...
Georgia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,50 ,43 , 59,95 ,82 , >95,87 ,75 , >95
Germany,89 ,79 , >95,88 ,78 , >95,93 ,82 , >95,89 ,79 , >95,90 ,80 , >95,95 ,84 , >95,88 ,78 , >95,94 ,83 , >95,>95 ,84 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Ghana,59 ,50 , 68,54 ,46 , 62,... ,... , ...,62 ,53 , 72,56 ,48 , 65,... ,... , ...,66 ,56 , 76,57 ,49 , 66,... ,... , ...,69 ,59 , 81,58 ,49 , 67,... ,... , ...
Greece,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 ,6 , 9
Guatemala,52 ,48 , 57,65 ,60 , 71,... ,... , ...,53 ,49 , 58,66 ,60 , 72,80 ,73 , 87,55 ,50 , 60,64 ,59 , 70,80 ,73 , 87,56 ,52 , 61,68 ,63 , 74,79 ,73 , 86
Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guinea-Bissau,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Guyana,81 ,73 , 91,83 ,74 , 93,... ,... , ...,>95 ,86 , >95,74 ,66 , 83,83 ,73 , 92,89 ,78 , >95,84 ,74 , 94,81 ,72 , 91,95 ,84 , >95,82 ,72 , 93,81 ,71 , 92
Haiti,68 ,62 , 75,77 ,70 , 85,... ,... , ...,71 ,64 , 78,87 ,79 , >95,... ,... , ...,73 ,66 , 82,93 ,85 , >95,... ,... , ...,74 ,66 , 83,86 ,77 , >95,... ,... , ...
Honduras,... ,... , ...,... ,... , ...,... ,... , ...,70 ,57 , 83,83 ,68 , >95,87 ,71 , >95,72 ,59 , 85,84 ,69 , >95,82 ,67 , >95,71 ,57 , 84,85 ,69 , >95,81 ,66 , >95
Hungary,71 ,63 , 80,52 ,47 , 59,... ,... , ...,72 ,64 , 81,54 ,48 , 61,... ,... , ...,74 ,66 , 83,57 ,51 , 64,... ,... , ...,64 ,56 , 71,64 ,57 , 72,... ,... , ...
Iceland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,85 ,75 , 92,>95 ,86 , >95,>95 ,86 , >95,>95 ,87 , >95,>95 ,87 , >95,>95 ,86 , >95
India,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Indonesia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Iran (Islamic Republic of),27 ,18 , 48,63 ,41 , >95,... ,... , ...,30 ,19 , 54,68 ,43 , >95,... ,... , ...,32 ,20 , 61,72 ,45 , >95,77 ,47 , >95,34 ,20 , 67,79 ,46 , >95,79 ,47 , >95
Ireland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,81 ,73 , 90,88 ,79 , >95,>95 ,86 , >95,86 ,77 , >95,88 ,79 , >95,95 ,85 , >95
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,90 ,81 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Italy,... ,... , ...,... ,... , ...,... ,... , ...,85 ,73 , 95,91 ,78 , >95,>95 ,82 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jamaica,87 ,77 , >95,44 ,39 , 49,... ,... , ...,88 ,78 , >95,46 ,41 , 52,... ,... , ...,89 ,79 , >95,50 ,44 , 56,... ,... , ...,... ,... , ...,... ,... , ...,81 ,72 , 91
Japan,... ,... , ...,... ,... , ...,>95 ,88 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Kazakhstan,93 ,86 , >95,39 ,36 , 42,67 ,63 , 72,95 ,88 , >95,46 ,42 , 49,62 ,57 , 66,>95 ,89 , >95,62 ,57 , 66,83 ,76 , 88,>95 ,90 , >95,71 ,66 , 76,68 ,63 , 72
Kenya,91 ,77 , >95,72 ,61 , 87,... ,... , ...,93 ,79 , >95,80 ,68 , >95,... ,... , ...,94 ,79 , >95,86 ,72 , >95,... ,... , ...,94 ,79 , >95,80 ,68 , >95,... ,... , ...
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,,,
Kuwait,45 ,41 , 49,93 ,84 , >95,94 ,85 , >95,51 ,46 , 55,>95 ,86 , >95,95 ,86 , >95,53 ,48 , 58,90 ,81 , >95,>95 ,86 , >95,58 ,52 , 64,90 ,81 , >95,>95 ,88 , >95
Kyrgyzstan,65 ,50 , 86,51 ,39 , 69,66 ,51 , 88,70 ,54 , 93,59 ,46 , 79,70 ,53 , 93,75 ,57 , >95,66 ,50 , 88,74 ,57 , >95,79 ,60 , >95,69 ,52 , 93,76 ,57 , >95
Lao People's Democratic Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,>95 ,85 , >95,... ,... , ...,... ,... , ...,92 ,82 , >95
Latvia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lebanon,63 ,56 , 69,43 ,38 , 47,... ,... , ...,66 ,59 , 74,49 ,44 , 54,... ,... , ...,73 ,65 , 81,45 ,41 , 51,>95 ,88 , >95,77 ,69 , 85,49 ,43 , 54,>95 ,89 , >95
Lesotho,77 ,72 , 82,65 ,61 , 69,... ,... , ...,80 ,75 , 86,72 ,67 , 76,... ,... , ...,84 ,79 , 90,77 ,73 , 83,88 ,82 , 94,89 ,83 , 95,73 ,68 , 78,95 ,89 , >95
Liberia,77 ,71 , 86,29 ,26 , 32,... ,... , ...,80 ,74 , 89,33 ,30 , 37,... ,... , ...,83 ,76 , 92,49 ,45 , 54,... ,... , ...,85 ,78 , 94,53 ,48 , 58,... ,... , ...
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
