,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,81 ,69 , 93,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,86 ,77 , 92,83 ,74 , 89,... ,... , ...,87 ,78 , 93,86 ,78 , 93,... ,... , ...,88 ,79 , 95,89 ,80 , >95,... ,... , ...,91 ,82 , >95,92 ,83 , >95,>95 ,88 , >95
Brazil,79 ,61 , >95,71 ,55 , 88,90 ,69 , >95,83 ,64 , >95,72 ,55 , 89,91 ,70 , >95,84 ,65 , >95,75 ,58 , 93,92 ,71 , >95,85 ,66 , >95,77 ,60 , >95,94 ,72 , >95
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,93 ,86 , >95,59 ,45 , 65
Bulgaria,82 ,73 , 91,37 ,33 , 41,86 ,77 , >95,82 ,73 , 92,37 ,32 , 41,90 ,80 , >95,81 ,71 , 93,46 ,40 , 52,78 ,68 , 89,83 ,71 , >95,50 ,43 , 58,94 ,80 , >95
Burkina Faso,57 ,47 , 69,79 ,65 , 95,... ,... , ...,60 ,49 , 72,85 ,69 , >95,... ,... , ...,65 ,53 , 79,89 ,73 , >95,... ,... , ...,70 ,57 , 85,88 ,72 , >95,... ,... , ...
Burundi,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cabo Verde,84 ,72 , >95,70 ,60 , 82,... ,... , ...,89 ,76 , >95,77 ,66 , 90,... ,... , ...,91 ,77 , >95,83 ,70 , >95,35 ,29 , 41,>95 ,81 , >95,92 ,78 , >95,47 ,40 , 56
Cambodia,76 ,67 , 88,94 ,82 , >95,... ,... , ...,79 ,68 , 90,>95 ,83 , >95,... ,... , ...,80 ,69 , 91,>95 ,86 , >95,94 ,81 , >95,82 ,71 , 93,>95 ,86 , >95,>95 ,83 , >95
Cameroon,64 ,56 , 70,49 ,43 , 53,... ,... , ...,68 ,59 , 73,56 ,50 , 61,... ,... , ...,71 ,62 , 77,67 ,58 , 72,... ,... , ...,74 ,65 , 81,71 ,62 , 77,... ,... , ...
Canada,... ,... , ...,... ,... , ...,... ,... , ...,86 ,75 , >95,81 ,71 , 92,91 ,80 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,48 ,40 , 58,51 ,43 , 62,... ,... , ...,50 ,41 , 61,56 ,47 , 69,... ,... , ...,52 ,44 , 65,63 ,53 , 78,... ,... , ...,55 ,46 , 69,65 ,54 , 81,... ,... , ...
Chad,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chile,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,83 ,75 , 93,94 ,85 , >95
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Comoros,56 ,27 , >95,>95 ,47 , >95,... ,... , ...,66 ,33 , >95,88 ,43 , >95,... ,... , ...,83 ,41 , >95,94 ,46 , >95,... ,... , ...,86 ,43 , >95,91 ,46 , >95,86 ,43 , >95
Congo,37 ,30 , 45,78 ,63 , 95,... ,... , ...,38 ,30 , 47,83 ,66 , >95,... ,... , ...,38 ,30 , 49,86 ,67 , >95,... ,... , ...,39 ,30 , 51,89 ,69 , >95,... ,... , ...
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,72 ,65 , 80,94 ,84 , >95,89 ,80 , >95,75 ,68 , 84,95 ,85 , >95,89 ,80 , >95,79 ,70 , 87,95 ,85 , >95,90 ,81 , >95,... ,... , ...,... ,... , ...,90 ,81 , >95
Cuba,75 ,58 , 90,77 ,59 , 92,... ,... , ...,77 ,59 , 92,80 ,61 , >95,... ,... , ...,80 ,61 , >95,83 ,64 , >95,65 ,50 , 78,83 ,64 , >95,86 ,66 , >95,67 ,52 , 80
Cyprus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Czechia,... ,... , ...,... ,... , ...,... ,... , ...,72 ,62 , 83,69 ,59 , 79,94 ,81 , >95,... ,... , ...,... ,... , ...,... ,... , ...,61 ,51 , 69,>95 ,84 , >95,... ,... , ...
Côte d'Ivoire,48 ,38 , 60,70 ,56 , 89,... ,... , ...,52 ,41 , 66,79 ,62 , >95,... ,... , ...,56 ,45 , 71,87 ,69 , >95,... ,... , ...,63 ,50 , 80,87 ,69 , >95,75 ,59 , 95
Democratic People's Republic of Korea,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,
Democratic Republic of the Congo,32 ,26 , 36,85 ,71 , >95,... ,... , ...,38 ,31 , 44,92 ,76 , >95,... ,... , ...,48 ,39 , 56,>95 ,82 , >95,... ,... , ...,62 ,51 , 73,92 ,75 , >95,... ,... , ...
