,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,83 ,73 , 92,91 ,80 , >95,90 ,79 , >95,86 ,75 , >95,89 ,78 , >95,89 ,78 , >95
Madagascar,5 ,4 , 6,86 ,71 , >95,... ,... , ...,7 ,6 , 9,75 ,61 , 94,... ,... , ...,8 ,7 , 11,81 ,65 , >95,... ,... , ...,11 ,8 , 15,84 ,65 , >95,... ,... , ...
Malawi,80 ,71 , 87,75 ,67 , 82,88 ,78 , >95,84 ,75 , 91,80 ,71 , 87,90 ,79 , >95,88 ,78 , 95,83 ,74 , 90,87 ,77 , 94,90 ,80 , >95,87 ,78 , 94,89 ,80 , >95
Malaysia,83 ,73 , 95,38 ,34 , 44,... ,... , ...,85 ,75 , >95,52 ,46 , 58,... ,... , ...,86 ,76 , >95,54 ,48 , 61,... ,... , ...,86 ,77 , >95,55 ,49 , 62,... ,... , ...
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,31 ,25 , 38,82 ,64 , >95,... ,... , ...,32 ,25 , 40,84 ,67 , >95,... ,... , ...,32 ,25 , 40,89 ,70 , >95,... ,... , ...,33 ,26 , 41,93 ,74 , >95,... ,... , ...
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,87 ,78 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,45 ,37 , 55,89 ,73 , >95,... ,... , ...,49 ,40 , 60,90 ,74 , >95,... ,... , ...,55 ,44 , 68,>95 ,77 , >95,... ,... , ...,62 ,50 , 79,88 ,71 , >95,... ,... , ...
Mauritius,21 ,18 , 24,>95 ,85 , >95,... ,... , ...,21 ,17 , 24,>95 ,84 , >95,... ,... , ...,22 ,18 , 26,>95 ,83 , >95,... ,... , ...,22 ,18 , 26,>95 ,82 , >95,73 ,60 , 87
Mexico,59 ,52 , 68,93 ,81 , >95,82 ,71 , 95,64 ,55 , 74,93 ,81 , >95,83 ,72 , >95,66 ,57 , 75,94 ,81 , >95,82 ,71 , 94,76 ,65 , 86,93 ,79 , >95,89 ,76 , >95
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,>95,,
Mongolia,32 ,28 , 36,85 ,75 , >95,84 ,74 , 95,34 ,30 , 39,82 ,72 , 92,74 ,66 , 83,36 ,32 , 40,87 ,76 , >95,86 ,76 , >95,38 ,33 , 42,86 ,76 , >95,79 ,70 , 88
Montenegro,51 ,43 , 58,63 ,54 , 72,... ,... , ...,56 ,47 , 64,65 ,55 , 74,91 ,77 , >95,56 ,47 , 64,70 ,59 , 80,91 ,77 , >95,55 ,46 , 64,73 ,61 , 84,93 ,78 , >95
Morocco,60 ,48 , 81,75 ,60 , >95,87 ,69 , >95,65 ,52 , 87,82 ,65 , >95,88 ,70 , >95,70 ,56 , 93,81 ,64 , >95,89 ,71 , >95,76 ,60 , >95,86 ,68 , >95,91 ,73 , >95
Mozambique,60 ,48 , 74,62 ,50 , 77,... ,... , ...,64 ,51 , 79,69 ,55 , 85,... ,... , ...,68 ,55 , 84,73 ,58 , 89,... ,... , ...,72 ,58 , 89,77 ,62 , 95,... ,... , ...
Myanmar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,92 ,82 , >95
Namibia,82 ,76 , 88,91 ,83 , >95,>95 ,88 , >95,85 ,78 , 91,90 ,83 , >95,90 ,83 , >95,90 ,83 , >95,94 ,86 , >95,94 ,86 , >95,91 ,84 , >95,>95 ,93 , >95,95 ,87 , >95
Nepal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,71 ,63 , 82,79 ,70 , 91,... ,... , ...
Netherlands,88 ,81 , 94,91 ,83 , >95,>95 ,87 , >95,88 ,81 , 95,92 ,84 , >95,>95 ,87 , >95,90 ,81 , >95,93 ,84 , >95,94 ,85 , >95,... ,... , ...,... ,... , ...,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,74 ,60 , >95
Niger,57 ,49 , 67,62 ,52 , 72,... ,... , ...,60 ,51 , 71,70 ,59 , 82,... ,... , ...,64 ,54 , 76,79 ,67 , 94,84 ,71 , >95,72 ,60 , 86,75 ,63 , 90,83 ,69 , >95
Nigeria,54 ,40 , 72,85 ,63 , >95,... ,... , ...,59 ,44 , 79,86 ,64 , >95,... ,... , ...,64 ,47 , 85,83 ,62 , >95,... ,... , ...,67 ,49 , 89,80 ,59 , >95,80 ,59 , >95
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,55 ,49 , 64,89 ,78 , >95,93 ,82 , >95,59 ,51 , 69,91 ,80 , >95,86 ,75 , >95
Norway,94 ,85 , >95,79 ,72 , 87,... ,... , ...,95 ,85 , >95,80 ,72 , 88,... ,... , ...,>95 ,87 , >95,84 ,76 , 92,... ,... , ...,>95 ,88 , >95,84 ,76 , 92,... ,... , ...
Oman,... ,... , ...,... ,... , ...,75 ,69 , 82,... ,... , ...,... ,... , ...,84 ,76 , 92,... ,... , ...,... ,... , ...,84 ,76 , 92,48 ,44 , 53,84 ,76 , 92,87 ,79 , >95
Pakistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,14 ,13 , 16,69 ,61 , 78,... ,... , ...
Panama,63 ,56 , 69,64 ,58 , 71,... ,... , ...,65 ,58 , 71,72 ,65 , 79,... ,... , ...,68 ,61 , 74,76 ,68 , 83,... ,... , ...,70 ,64 , 77,76 ,69 , 84,76 ,68 , 83
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,87 ,77 , >95,75 ,67 , 82,... ,... , ...
Paraguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,76 ,58 , >95,71 ,54 , >95,57 ,44 , 82,79 ,61 , >95
Peru,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Philippines,... ,... , ...,... ,... , ...,... ,... , ...,68 ,58 , 80,48 ,40 , 56,... ,... , ...,74 ,62 , 86,51 ,43 , 60,... ,... , ...,76 ,64 , 89,57 ,48 , 67,... ,... , ...
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,87 ,76 , >95,88 ,77 , >95,89 ,78 , >95,89 ,78 , >95,>95 ,85 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,>95 ,85 , >95,73 ,62 , 82
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,... ,... , ...,... ,... , ...,... ,... , ...,39 ,31 , 51,66 ,53 , 87,... ,... , ...,49 ,39 , 63,61 ,49 , 80,71 ,56 , 92,54 ,43 , 70,63 ,51 , 83,77 ,61 , >95
Romania,84 ,74 , 91,77 ,68 , 84,... ,... , ...,84 ,74 , 92,77 ,68 , 84,... ,... , ...,85 ,75 , 93,78 ,69 , 85,94 ,83 , >95,87 ,77 , 94,78 ,69 , 85,80 ,71 , 87
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,88 ,78 , >95,81 ,71 , 89,... ,... , ...,90 ,80 , >95,88 ,78 , >95,82 ,73 , 91,92 ,81 , >95,90 ,79 , >95,83 ,73 , 93,94 ,83 , >95,93 ,81 , >95,85 ,75 , 95
Saint Kitts and Nevis,... ,... , ...,... ,... , ...,51 ,45 , 58,... ,... , ...,... ,... , ...,57 ,50 , 64,... ,... , ...,... ,... , ...,54 ,47 , 62,... ,... , ...,... ,... , ...,60 ,52 , 69
Saint Lucia,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,28 ,25 , 32,... ,... , ...,... ,... , ...,15 ,13 , 17,... ,... , ...,... ,... , ...,35 ,31 , 40
Saint Vincent and the Grenadines,77 ,67 , 86,47 ,41 , 52,90 ,79 , >95,74 ,64 , 83,47 ,41 , 53,78 ,67 , 87,72 ,62 , 81,49 ,43 , 55,83 ,72 , 94,70 ,60 , 79,47 ,41 , 53,81 ,70 , 92
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,31,,
Sao Tome and Principe,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,41 ,33 , 57
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,94 ,82 , >95,94 ,82 , >95
Senegal,50 ,44 , 56,86 ,76 , >95,... ,... , ...,53 ,47 , 60,93 ,82 , >95,... ,... , ...,57 ,50 , 64,>95 ,84 , >95,... ,... , ...,65 ,57 , 74,>95 ,84 , >95,... ,... , ...
Serbia,85 ,65 , >95,64 ,49 , 78,... ,... , ...,84 ,63 , >95,68 ,51 , 84,... ,... , ...,85 ,62 , >95,72 ,53 , 90,... ,... , ...,86 ,61 , >95,76 ,54 , >95,... ,... , ...
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,91,,
Sierra Leone,38 ,31 , 46,56 ,46 , 69,66 ,53 , 80,42 ,34 , 51,64 ,52 , 77,66 ,54 , 80,45 ,36 , 55,77 ,62 , 94,66 ,53 , 81,49 ,39 , 60,83 ,66 , >95,63 ,50 , 77
Singapore,70 ,63 , 77,90 ,80 , >95,94 ,84 , >95,73 ,66 , 81,91 ,82 , >95,>95 ,88 , >95,77 ,69 , 84,87 ,78 , >95,>95 ,88 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Slovakia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,69 ,52 , >95,85 ,64 , >95,... ,... , ...,69 ,52 , >95,78 ,59 , >95,86 ,65 , >95
Slovenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,77,,
Somalia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
South Africa,85 ,77 , 91,58 ,53 , 62,76 ,69 , 81,87 ,79 , 93,61 ,55 , 65,80 ,73 , 85,89 ,81 , >95,64 ,59 , 69,83 ,76 , 89,90 ,83 , >95,68 ,62 , 73,87 ,80 , 93
South Sudan,15 ,11 , 18,73 ,55 , 90,... ,... , ...,18 ,14 , 22,61 ,47 , 76,... ,... , ...,21 ,16 , 26,61 ,46 , 76,... ,... , ...,24 ,18 , 30,66 ,48 , 82,... ,... , ...
Spain,... ,... , ...,... ,... , ...,... ,... , ...,86 ,76 , >95,93 ,82 , >95,90 ,79 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sri Lanka,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,76 ,65 , 89,... ,... , ...,... ,... , ...,76 ,67 , 89,... ,... , ...,... ,... , ...,84 ,74 , >95
Sudan,19 ,11 , 30,44 ,26 , 71,... ,... , ...,22 ,12 , 36,49 ,26 , 82,... ,... , ...,25 ,12 , 44,55 ,27 , >95,... ,... , ...,27 ,12 , 51,56 ,24 , >95,... ,... , ...
Suriname,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,60 ,40 , 86,87 ,58 , >95,87 ,58 , >95
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,>95 ,88 , >95,>95 ,87 , >95,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,>95 ,85 , >95,>95 ,87 , >95
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,39 ,32 , 47,63 ,52 , 76,... ,... , ...,44 ,36 , 53,73 ,60 , 88,... ,... , ...,50 ,41 , 60,78 ,64 , 95,60 ,49 , 73,58 ,47 , 70,80 ,66 , >95,67 ,55 , 81
Thailand,76 ,66 , 88,73 ,64 , 86,>95 ,85 , >95,81 ,71 , 94,76 ,67 , 89,>95 ,85 , >95,87 ,77 , >95,78 ,68 , 90,>95 ,85 , >95,94 ,82 , >95,80 ,70 , 92,>95 ,85 , >95
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,63 ,58 , 68,61 ,56 , 66,... ,... , ...,66 ,61 , 71,73 ,68 , 79,... ,... , ...,69 ,64 , 75,81 ,75 , 87,... ,... , ...,73 ,68 , 79,82 ,77 , 89,... ,... , ...
Trinidad and Tobago,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,62 ,38 , >95
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,
Uganda,76 ,71 , 81,72 ,68 , 77,... ,... , ...,78 ,74 , 84,78 ,74 , 84,88 ,83 , 95,81 ,76 , 87,87 ,82 , 94,88 ,83 , 95,84 ,78 , 90,87 ,81 , 93,88 ,83 , >95
Ukraine,65 ,61 , 70,43 ,40 , 46,88 ,83 , 95,68 ,63 , 73,57 ,53 , 61,86 ,80 , 92,71 ,66 , 76,62 ,57 , 66,87 ,81 , 93,71 ,66 , 77,73 ,68 , 78,93 ,86 , >95
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,92 ,77 , >95,>95 ,82 , >95,>95 ,81 , >95,... ,... , ...,... ,... , ...,... ,... , ...
United Republic of Tanzania,64 ,57 , 70,81 ,72 , 88,... ,... , ...,69 ,62 , 76,84 ,75 , 92,... ,... , ...,74 ,66 , 81,87 ,78 , >95,... ,... , ...,78 ,70 , 85,92 ,83 , >95,87 ,78 , >95
United States,... ,... , ...,... ,... , ...,... ,... , ...,86 ,76 , 95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uruguay,73 ,56 , 92,68 ,52 , 85,58 ,44 , 72,76 ,57 , >95,65 ,49 , 84,71 ,53 , 92,79 ,57 , >95,66 ,48 , 85,81 ,58 , >95,82 ,58 , >95,70 ,49 , 92,86 ,61 , >95
Uzbekistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Viet Nam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Yemen,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Zambia,78 ,70 , 89,84 ,75 , 95,... ,... , ...,81 ,72 , 92,83 ,74 , 94,89 ,79 , >95,84 ,75 , >95,83 ,74 , 94,... ,... , ...,87 ,78 , >95,89 ,80 , >95,75 ,67 , 85
Zimbabwe,82 ,71 , 94,80 ,69 , 91,... ,... , ...,86 ,74 , >95,84 ,73 , >95,87 ,76 , >95,88 ,77 , >95,91 ,79 , >95,... ,... , ...,90 ,78 , >95,>95 ,85 , >95,... ,... , ...
Global,70 ,59,82,68 ,59,72,82 ,68,88,73 ,62,86,72 ,62,76,84 ,70,89,76 ,65,89,75 ,66,79,85 ,71,91,79 ,67,92,78 ,69,82,86 ,72,92
