,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Libya,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Lithuania,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Luxembourg,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,82 ,70 , 93,90 ,78 , >95,94 ,80 , >95,86 ,74 , >95,89 ,76 , >95,90 ,77 , >95
Madagascar,4 ,3 , 5,73 ,60 , 89,... ,... , ...,5 ,4 , 7,72 ,58 , 92,... ,... , ...,5 ,4 , 7,89 ,70 , >95,... ,... , ...,7 ,5 , 9,>95 ,73 , >95,... ,... , ...
Malawi,81 ,71 , 89,63 ,55 , 68,87 ,76 , >95,85 ,74 , 92,67 ,59 , 73,89 ,79 , >95,87 ,77 , 95,72 ,64 , 78,87 ,77 , 94,89 ,79 , >95,76 ,68 , 83,89 ,80 , >95
Malaysia,88 ,78 , >95,32 ,28 , 36,... ,... , ...,88 ,78 , >95,44 ,39 , 50,... ,... , ...,89 ,79 , >95,46 ,41 , 52,... ,... , ...,89 ,79 , >95,48 ,43 , 54,... ,... , ...
Maldives,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mali,32 ,25 , 38,72 ,56 , 86,... ,... , ...,32 ,25 , 39,78 ,61 , 95,... ,... , ...,32 ,26 , 40,82 ,66 , >95,... ,... , ...,33 ,27 , 41,87 ,70 , >95,... ,... , ...
Malta,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Mauritania,36 ,28 , 45,80 ,64 , >95,... ,... , ...,39 ,31 , 50,86 ,68 , >95,... ,... , ...,43 ,34 , 56,90 ,72 , >95,... ,... , ...,53 ,42 , 70,77 ,61 , >95,... ,... , ...
Mauritius,24 ,20 , 28,>95 ,85 , >95,... ,... , ...,22 ,18 , 27,>95 ,83 , >95,... ,... , ...,23 ,19 , 28,>95 ,82 , >95,... ,... , ...,23 ,19 , 28,>95 ,81 , >95,74 ,60 , 91
Mexico,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,>95,,
Mongolia,31 ,27 , 35,88 ,76 , >95,84 ,73 , 95,34 ,30 , 38,84 ,74 , >95,70 ,61 , 79,36 ,31 , 40,89 ,78 , >95,87 ,76 , >95,38 ,33 , 42,89 ,78 , >95,77 ,67 , 86
Montenegro,50 ,41 , 61,63 ,52 , 76,... ,... , ...,56 ,46 , 67,64 ,52 , 76,90 ,73 , >95,57 ,47 , 68,69 ,57 , 83,93 ,76 , >95,56 ,46 , 67,73 ,60 , 87,92 ,76 , >95
Morocco,50 ,39 , 68,68 ,53 , 93,87 ,68 , >95,54 ,42 , 73,74 ,58 , >95,88 ,69 , >95,59 ,46 , 79,78 ,61 , >95,89 ,69 , >95,64 ,50 , 86,84 ,66 , >95,91 ,71 , >95
Mozambique,49 ,39 , 62,56 ,44 , 70,... ,... , ...,53 ,42 , 67,60 ,47 , 75,... ,... , ...,57 ,45 , 72,66 ,52 , 82,... ,... , ...,61 ,48 , 77,69 ,54 , 86,... ,... , ...
Myanmar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,92 ,82 , >95
Namibia,79 ,73 , 85,86 ,79 , 92,>95 ,88 , >95,82 ,76 , 88,85 ,79 , 92,83 ,76 , 89,85 ,78 , 92,82 ,75 , 89,94 ,86 , >95,87 ,80 , 95,88 ,80 , >95,94 ,86 , >95
Nepal,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,70 ,61 , 81,68 ,59 , 79,... ,... , ...
Netherlands,86 ,78 , 93,91 ,83 , >95,>95 ,87 , >95,87 ,78 , 93,93 ,84 , >95,>95 ,87 , >95,88 ,80 , >95,93 ,84 , >95,94 ,85 , >95,... ,... , ...,... ,... , ...,... ,... , ...
New Zealand,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Nicaragua,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,75 ,61 , >95
Niger,46 ,39 , 54,54 ,45 , 63,... ,... , ...,48 ,40 , 57,62 ,52 , 73,... ,... , ...,51 ,42 , 60,75 ,63 , 89,94 ,78 , >95,62 ,51 , 73,63 ,52 , 75,84 ,69 , >95
Nigeria,50 ,37 , 68,62 ,46 , 84,... ,... , ...,55 ,41 , 75,64 ,47 , 86,... ,... , ...,60 ,44 , 80,62 ,45 , 83,... ,... , ...,63 ,47 , 85,60 ,44 , 80,... ,... , ...
North Macedonia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,57 ,50 , 66,87 ,76 , >95,93 ,82 , >95,61 ,54 , 72,90 ,79 , >95,85 ,74 , >95
Norway,94 ,85 , >95,77 ,70 , 85,... ,... , ...,>95 ,86 , >95,78 ,70 , 85,... ,... , ...,>95 ,87 , >95,83 ,75 , 92,... ,... , ...,>95 ,89 , >95,84 ,76 , 92,... ,... , ...
Oman,... ,... , ...,... ,... , ...,74 ,65 , 81,... ,... , ...,... ,... , ...,84 ,74 , 92,... ,... , ...,... ,... , ...,85 ,75 , 94,47 ,41 , 52,83 ,74 , 92,87 ,77 , >95
Pakistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,16 ,15 , 19,66 ,58 , 75,... ,... , ...
Panama,68 ,60 , 76,58 ,51 , 65,... ,... , ...,70 ,62 , 79,65 ,57 , 73,... ,... , ...,74 ,65 , 82,68 ,60 , 76,... ,... , ...,77 ,68 , 86,74 ,66 , 83,73 ,65 , 82
Papua New Guinea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,87 ,77 , >95,70 ,62 , 78,... ,... , ...
Paraguay,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,65 ,49 , 94,60 ,46 , 88,80 ,60 , >95
Peru,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Philippines,... ,... , ...,... ,... , ...,... ,... , ...,68 ,57 , 80,50 ,42 , 58,... ,... , ...,74 ,62 , 87,53 ,45 , 62,... ,... , ...,77 ,64 , 90,59 ,49 , 69,... ,... , ...
Poland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Portugal,... ,... , ...,... ,... , ...,... ,... , ...,86 ,73 , >95,88 ,75 , >95,89 ,76 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Qatar,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,>95 ,84 , >95,72 ,61 , 80
Republic of Korea,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Republic of Moldova,... ,... , ...,... ,... , ...,... ,... , ...,34 ,27 , 44,63 ,50 , 83,... ,... , ...,43 ,34 , 57,57 ,45 , 74,71 ,56 , 93,49 ,39 , 64,60 ,47 , 78,76 ,61 , >95
Romania,77 ,65 , 87,79 ,67 , 90,... ,... , ...,77 ,66 , 88,76 ,65 , 87,... ,... , ...,78 ,67 , 89,78 ,67 , 89,94 ,81 , >95,80 ,68 , 91,80 ,68 , 91,80 ,69 , 91
Russian Federation,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Rwanda,90 ,78 , >95,75 ,66 , 85,... ,... , ...,92 ,80 , >95,84 ,73 , 94,82 ,71 , 92,94 ,81 , >95,86 ,75 , >95,83 ,72 , 93,>95 ,83 , >95,88 ,77 , >95,84 ,73 , 94
Saint Kitts and Nevis,... ,... , ...,... ,... , ...,48 ,42 , 54,... ,... , ...,... ,... , ...,49 ,43 , 56,... ,... , ...,... ,... , ...,49 ,44 , 56,... ,... , ...,... ,... , ...,55 ,48 , 63
Saint Lucia,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,33 ,28 , 37,... ,... , ...,... ,... , ...,13 ,11 , 15,... ,... , ...,... ,... , ...,37 ,32 , 43
Saint Vincent and the Grenadines,64 ,54 , 73,45 ,38 , 51,88 ,75 , >95,61 ,52 , 70,42 ,36 , 48,73 ,62 , 83,60 ,51 , 69,45 ,38 , 52,80 ,68 , 91,60 ,50 , 69,42 ,35 , 48,81 ,68 , 93
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,38,,
Sao Tome and Principe,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,38 ,30 , 56
Saudi Arabia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,>95 ,83 , >95,93 ,81 , >95
Senegal,42 ,37 , 49,>95 ,88 , >95,... ,... , ...,46 ,41 , 53,94 ,83 , >95,... ,... , ...,51 ,45 , 59,>95 ,86 , >95,... ,... , ...,60 ,52 , 69,>95 ,83 , >95,... ,... , ...
Serbia,86 ,65 , >95,63 ,48 , 76,... ,... , ...,84 ,63 , >95,66 ,50 , 81,... ,... , ...,85 ,61 , >95,69 ,50 , 87,... ,... , ...,86 ,60 , >95,76 ,53 , >95,... ,... , ...
Sierra Leone,28 ,22 , 35,56 ,44 , 68,65 ,52 , 80,31 ,25 , 39,57 ,45 , 71,65 ,51 , 80,34 ,26 , 43,69 ,53 , 86,65 ,51 , 81,38 ,30 , 48,74 ,57 , 93,61 ,47 , 77
Singapore,69 ,62 , 76,... ,... , ...,... ,... , ...,72 ,65 , 80,... ,... , ...,... ,... , ...,76 ,69 , 84,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Slovakia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,70 ,51 , >95,85 ,62 , >95,... ,... , ...,72 ,52 , >95,76 ,55 , >95,86 ,62 , >95
Slovenia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,>95,,,75,,
Somalia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
South Africa,81 ,72 , 88,54 ,48 , 59,74 ,66 , 81,84 ,75 , 91,56 ,50 , 61,78 ,69 , 85,86 ,77 , 94,60 ,53 , 65,81 ,73 , 88,88 ,79 , >95,63 ,57 , 69,85 ,76 , 92
South Sudan,14 ,10 , 17,57 ,42 , 70,... ,... , ...,16 ,12 , 20,52 ,39 , 64,... ,... , ...,19 ,14 , 24,58 ,43 , 73,... ,... , ...,22 ,16 , 27,62 ,44 , 78,... ,... , ...
Spain,... ,... , ...,... ,... , ...,... ,... , ...,86 ,74 , >95,93 ,80 , >95,90 ,77 , >95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Sri Lanka,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,76 ,66 , 91,... ,... , ...,... ,... , ...,75 ,65 , 89,... ,... , ...,... ,... , ...,83 ,73 , >95
Sudan,20 ,11 , 33,44 ,25 , 73,... ,... , ...,23 ,12 , 39,47 ,24 , 82,... ,... , ...,26 ,12 , 47,54 ,25 , >95,... ,... , ...,28 ,12 , 55,54 ,23 , >95,... ,... , ...
Suriname,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,50 ,34 , 73,87 ,59 , >95,86 ,59 , >95
Sweden,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Switzerland,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Syrian Arab Republic,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tajikistan,29 ,24 , 36,52 ,42 , 64,... ,... , ...,34 ,27 , 42,62 ,50 , 76,... ,... , ...,39 ,32 , 48,67 ,54 , 82,56 ,45 , 69,47 ,38 , 57,70 ,56 , 85,63 ,51 , 77
Thailand,72 ,64 , 84,72 ,63 , 84,>95 ,85 , >95,78 ,70 , 91,75 ,66 , 87,>95 ,86 , >95,86 ,76 , >95,76 ,67 , 88,>95 ,86 , >95,94 ,83 , >95,78 ,69 , 90,>95 ,86 , >95
Timor-Leste,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Togo,59 ,54 , 65,59 ,54 , 64,... ,... , ...,62 ,56 , 67,61 ,55 , 66,... ,... , ...,65 ,59 , 71,60 ,55 , 66,... ,... , ...,69 ,63 , 76,71 ,65 , 77,... ,... , ...
Trinidad and Tobago,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Tunisia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,67 ,41 , >95
Turkey,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Turkmenistan,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,,... ,... , ...,... ,... , ...,,,
Uganda,77 ,72 , 86,58 ,54 , 65,... ,... , ...,80 ,74 , 88,64 ,60 , 71,89 ,83 , >95,82 ,75 , 90,75 ,69 , 82,88 ,81 , >95,84 ,77 , 95,75 ,69 , 84,88 ,81 , >95
Ukraine,52 ,49 , 56,43 ,40 , 47,88 ,82 , >95,55 ,51 , 59,57 ,53 , 61,86 ,80 , 92,59 ,54 , 63,61 ,57 , 66,87 ,81 , 94,59 ,55 , 64,72 ,67 , 78,93 ,86 , >95
United Arab Emirates,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Kingdom,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
United Republic of Tanzania,59 ,52 , 66,66 ,59 , 74,... ,... , ...,64 ,56 , 71,69 ,61 , 77,... ,... , ...,69 ,61 , 76,72 ,64 , 80,... ,... , ...,73 ,65 , 81,77 ,69 , 86,86 ,77 , >95
United States,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Uruguay,67 ,49 , 86,67 ,49 , 86,50 ,37 , 64,70 ,50 , 91,67 ,47 , 87,71 ,51 , 93,72 ,50 , >95,66 ,46 , 88,75 ,52 , >95,75 ,51 , >95,68 ,46 , 92,79 ,53 , >95
Uzbekistan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Venezuela (Bolivarian Republic of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Viet Nam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Yemen,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Zambia,76 ,67 , 87,81 ,71 , 93,... ,... , ...,80 ,70 , 92,79 ,69 , 91,88 ,77 , >95,84 ,74 , >95,76 ,67 , 88,... ,... , ...,87 ,77 , >95,79 ,70 , 91,75 ,66 , 86
Zimbabwe,78 ,67 , 89,77 ,67 , 89,... ,... , ...,81 ,70 , 93,79 ,68 , 91,86 ,75 , >95,84 ,73 , >95,88 ,76 , >95,... ,... , ...,86 ,75 , >95,>95 ,83 , >95,... ,... , ...
Global,66 ,55,80,64 ,55,69,81 ,67,88,69 ,57,83,67 ,58,72,83 ,69,89,73 ,60,86,71 ,61,75,84 ,69,90,75 ,63,89,74 ,64,77,85 ,71,92
