,2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper, 2018,2018_lower, 2018_upper
Country,Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper, Percent of people living with HIV who know their status,Percent of people living with HIV who know their status_lower, Percent of people living with HIV who know their status_upper, Percent of people who know their status who are on ART,Percent of people who know their status who are on ART_lower, Percent of people who know their status who are on ART_upper, Percent of people on ART who achieve viral suppression,Percent of people on ART who achieve viral suppression_lower, Percent of people on ART who achieve viral suppression_upper
Belarus,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,80 ,66 , >95,70 ,58 , 90,67 ,55 , 86
Belgium,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Belize,49 ,43 , 55,48 ,42 , 53,... ,... , ...,49 ,44 , 55,53 ,47 , 59,61 ,54 , 67,50 ,44 , 55,51 ,45 , 57,... ,... , ...,48 ,42 , 53,56 ,50 , 63,67 ,59 , 74
Benin,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,79 ,52 , >95
Bhutan,25 ,12 , 51,55 ,28 , >95,... ,... , ...,28 ,15 , 57,57 ,29 , >95,... ,... , ...,32 ,17 , 68,66 ,34 , >95,... ,... , ...,35 ,18 , 75,75 ,39 , >95,... ,... , ...
Bolivia (Plurinational State of),... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,70 ,61 , 78,... ,... , ...,... ,... , ...,69 ,61 , 77,... ,... , ...,... ,... , ...,76 ,67 , 85
Bosnia and Herzegovina,... ,... , ...,... ,... , ...,81 ,67 , 95,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Botswana,85 ,76 , 94,73 ,65 , 80,... ,... , ...,87 ,77 , >95,76 ,67 , 83,... ,... , ...,88 ,78 , >95,78 ,70 , 86,... ,... , ...,89 ,80 , >95,80 ,72 , 88,>95 ,87 , >95
Brazil,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Brunei Darussalam,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,91 ,84 , >95,59 ,45 , 65
Bulgaria,78 ,70 , 87,36 ,32 , 40,89 ,80 , >95,79 ,69 , 89,35 ,31 , 40,92 ,82 , >95,78 ,68 , 89,49 ,42 , 56,73 ,63 , 84,79 ,67 , 92,54 ,46 , 63,94 ,80 , >95
Burkina Faso,50 ,41 , 60,67 ,55 , 79,... ,... , ...,53 ,43 , 63,70 ,57 , 83,... ,... , ...,55 ,45 , 66,74 ,60 , 88,... ,... , ...,63 ,51 , 74,73 ,59 , 87,... ,... , ...
Burundi,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Cabo Verde,87 ,73 , >95,63 ,54 , 75,... ,... , ...,91 ,77 , >95,70 ,59 , 83,... ,... , ...,... ,... , ...,... ,... , ...,32 ,27 , 38,... ,... , ...,... ,... , ...,36 ,30 , 43
Cambodia,72 ,62 , 83,94 ,81 , >95,... ,... , ...,75 ,65 , 87,>95 ,82 , >95,... ,... , ...,76 ,65 , 88,>95 ,84 , >95,94 ,81 , >95,80 ,68 , 92,>95 ,85 , >95,>95 ,82 , >95
Cameroon,66 ,58 , 73,42 ,37 , 47,... ,... , ...,69 ,61 , 76,49 ,43 , 54,... ,... , ...,72 ,63 , 80,58 ,51 , 64,... ,... , ...,75 ,66 , 83,63 ,55 , 69,... ,... , ...
Canada,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Central African Republic,49 ,41 , 60,53 ,45 , 66,... ,... , ...,51 ,42 , 63,40 ,34 , 50,... ,... , ...,52 ,43 , 65,49 ,41 , 61,... ,... , ...,53 ,44 , 67,53 ,44 , 67,... ,... , ...
Chad,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Chile,... ,... , ...,... ,... , ...,85 ,74 , 95,... ,... , ...,... ,... , ...,91 ,79 , >95,... ,... , ...,... ,... , ...,91 ,79 , >95,88 ,76 , >95,74 ,64 , 82,... ,... , ...
China,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,83 ,74 , 92,94 ,85 , >95
Colombia,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Comoros,63 ,30 , >95,>95 ,47 , >95,... ,... , ...,75 ,37 , >95,89 ,44 , >95,... ,... , ...,>95 ,49 , >95,>95 ,49 , >95,... ,... , ...,>95 ,50 , >95,>95 ,50 , >95,... ,... , ...
Congo,34 ,28 , 42,85 ,70 , >95,... ,... , ...,34 ,28 , 43,88 ,71 , >95,... ,... , ...,35 ,27 , 45,93 ,74 , >95,... ,... , ...,36 ,28 , 48,>95 ,78 , >95,... ,... , ...
Costa Rica,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...
Croatia,71 ,64 , 80,94 ,84 , >95,89 ,81 , >95,76 ,68 , 84,95 ,85 , >95,90 ,81 , >95,79 ,71 , 88,95 ,85 , >95,91 ,82 , >95,... ,... , ...,... ,... , ...,91 ,81 , >95
